country,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0255,0.043,0.0526,0.0533,0.052,0.036,0.0372,0.0307,0.0218,0.0194,0.0187,0.0299,0.04,0.0403,0.0255,0.0283,0.0225,0.0295,0.0722,0.0756,0.0703,0.06,0.0538,0.049,0.0398,0.0298,0.0274
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0259,,,,,,0.0273,,,,,0.031,,,,,0.0244,,0.0269,,,,,
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0192,0.0129,0.0248,,0.0166,,0.0285,,,0.021,0.0259,0.0255,0.0274,,0.0251,0.0254,0.0267,,,,0.0437,0.0468,0.0546,0.063,0.0608,0.0608,0.066,0.0666,0.073,0.0794,0.0755,0.0806,0.0721,0.0611,0.0561,0.0515,0.0447,0.0434,0.0405,0.0451,0.043,0.0418
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,0.103,0.121,0.112,0.106,0.105,0.12,0.135,0.124,0.126,0.104,0.106,0.111,0.124,0.121
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0865,,,,,0.0796,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148,0.164,0.179,0.18,0.181,0.174,0.161,0.141,0.158,0.15,0.156,0.146,0.12,0.117,0.102,0.077,0.058,0.0432,0.0368,0.0422,0.0448,0.0449,0.0434,0.0441,0.0498,0.0677,0.126,0.145,0.154,0.155,0.137,0.119,0.099,0.0837,0.0671
Israel,,,,,,,,,,,,,,,,,,,,,,,0.0447,0.0382,0.0346,0.027,0.0264,0.0305,,0.0347,,0.0342,0.0278,0.0459,0.0492,0.0481,0.0432,0.0569,0.0633,,,,,0.122,0.134,0.141,0.127,0.0993,0.0878,0.0846,0.0975,0.107,0.112,0.111,0.118,0.129,0.135,0.13,0.113,0.107,0.0938,0.077,0.0953,0.0848,0.0714,0.0686,0.0621,0.0589,0.0525,0.048,0.0421
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0857,0.0941,0.0941,0.106,0.107,0.11,0.11,0.0979,0.101,0.0933,0.102,0.111,0.117,0.119,0.12,0.121,0.117,0.108,0.096,0.0921,0.0887,0.0787,0.0773,0.0678,0.0608,0.0672,0.0775,0.0836,0.0836,0.107,0.121,0.127,0.119,0.117,0.112
Jamaica,,,,,,,,,,,,,,,,,,,,,,,0.176,,,0.232,0.221,0.205,0.196,0.218,,0.237,,0.355,0.25,0.267,,,0.334,,,0.23,,0.157,0.157,0.154,0.163,0.153,0.162,0.16,0.164,0.155,0.157,0.155,0.149,0.142,0.117,0.114,0.113,0.103,0.0975,0.103,0.114,0.124,0.127,0.139,0.153,0.137,0.135,0.132,0.117
Japan,,,,,,,0.019,0.023,0.025,0.023,0.019,0.021,0.022,0.017,0.014,0.013,0.013,0.011,0.012,0.013,0.013,0.012,0.011,0.011,0.012,0.014,0.013,0.014,0.019,0.02,0.02,0.022,0.021,0.02,0.022,0.024,0.026,0.027,0.026,0.028,0.028,0.025,0.023,0.021,0.021,0.022,0.025,0.029,0.032,0.034,0.034,0.041,0.047,0.047,0.05,0.054,0.053,0.047,0.044,0.041,0.039,0.04,0.051,0.051,0.0452,0.043,0.04,0.036,0.034,0.031,0.028
