country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208,,,,,,,,,,,0.326,0.297,0.29,0.267,,,,0.195,0.199,0.196,0.186
Ireland,,,,,,,,,,,,,,0.0683,0.0569,0.0652,0.0362,0.0413,0.0366,0.0371,0.0351,0.0263,0.0204,0.0233,0.0212,0.0188,0.0148,0.0184,0.02,0.018,0.019,0.0148,0.0116,0.0135,0.0092,0.009,0.0087,0.0098,0.0087,0.0102,0.0092,0.0077,0.0089,0.01,0.0081,0.0093,0.0089,0.0062
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,0.0121,0.0106,0.0092,0.0085,0.0082,0.0077,0.0076,0.0067,0.0068,0.0057,0.0055,0.0047,0.0038,0.0034,0.0033,0.0027,0.0022,0.0019,0.0017,0.0015,0.0013,0.0013,0.0011
Italy,,,,,,,,,,,,,,0.103,0.112,0.106,0.101,0.0998,0.0949,0.0825,0.0737,0.0732,0.0894,0.0851,0.0795,0.0768,0.0722,0.0685,0.066,0.0577,0.0581,0.0609,0.0589,0.0591,0.0363,0.0281,0.0271,0.0262,0.0248,0.022,0.0228,0.0223,0.0199,0.0201,0.0195,0.0186,0.0177,0.0165
Jamaica,,,,,,,,,,,,,,,,,,,,,,0.0447,0.0411,0.032,0.0337,0.0393,0.0359,0.0318,0.0344,0.0301,0.0303,0.0345,0.0251,0.0222,0.0238,0.0249,0.0217,0.0216,0.0212,,,0.0146,0.0147,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,0.167,0.155,0.143,0.131,0.128,0.125,0.12,0.116,0.113,0.111,0.106,0.101,0.0952,0.0916,0.0887,0.0858,0.0762,0.073,0.0685,0.0629,0.0587,0.0559,0.0546,0.0526,0.0498,0.0479,0.0439,0.0423
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,,,,,,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0124,0.0133,0.0116,0.0133,0.0089,0.0114,0.0111,0.009,0.0089,0.009,0.0083,0.0039,0.0041,,0.0012,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.537,,,,,,,,,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0874,,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003,,,,,,,,,,0,0,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159,0.177,0.218,0.21,0.193,,,0.136,0.129,0.138,0.145,0.211,0.207,0.171,0.144,0.111
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,0.376,,,,,,,,,,0.65,,,,,0.452,,,,,,,0.456
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0508,0.0747,0.0622,0.0621,0.048,0.0525,0.0423,0.0418,0.0462,0.021,0.0158,0.0181,0.0117,0.014,0.0142,0.011,0.0075,0.0063,0.0057,0.0062,0.0066,0.0042
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0403,,,0.059,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,0.259,,,,,,,,,,,,,,,,,,,,,0.0371,,,,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0407,0.0435,0.0355,0.0362,0.0437,0.0457,0.042,0.0392,0.0398,0.0268,0.0192,0.019,0.0176,0.0149,0.0146,0.0145,0.0136,0.0143,0.011,0.0109
Luxembourg,,,,,,,,,,,,,,0.0768,0.0637,0.0581,0.0448,0.0485,0.0443,0.0413,0.0412,0.0396,0.0261,0.0352,0.0304,0.0335,0.0184,0.0149,0.0138,0.0153,0.0129,0.0114,0.0133,0.0036,0.0077,0.006,0.0042,0.0034,0.005,0.0101,0.0074,0.0058,0.0066,0.0064,0.0055,0.0103,0.0109,0.0073
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,0.416,,,,,,,,,,0.519,,0.73,,,,,0.634,,0.608,,,0.594,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0758,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,0.132,0.138,0.124,0.12,0.118,0.111,0.103,0.0963,0.0958,0.0965,0.0852,0.0902,0.0883,0.0807,0.0792,0.0769,0.0732,0.0849,0.0832,0.0817,0.0818,0.0767,
Maldives,,,,,,,,,,,,,,,,,,,,,0.0658,,,,,0.122,,,,,0.0336,,,,,,0.229,,,,,,,,0.0893,,0.0395,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,,0.467,0.341,,,,,,,0.412,0.279,0.411,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009,0.0009
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0096,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,0.0309,,,,,0.0409,,,,,0.0166,0.0331,0.0374,0.0528,0.0463,0.0464,0.0468,0.0466,0.0444,0.0481,0.0512,0.0426,0.0479,0.0459,0.0445,0.0473,0.0435,0.0362
Mexico,,,,,,,,,,,,,,,,,,,,,0.0545,0.174,0.162,0.177,0.168,0.17,0.161,0.18,0.15,0.144,0.126,0.119,0.119,0.117,0.112,0.108,0.103,0.103,0.0994,0.0947,0.0935,0.0923,0.0887,0.0816,0.0803,0.0768,0.0722,0.0695
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0797,0.0884,0.107,0.102,0.0339,0.0148,0.0139,0.0428,0.0337,0.0347,0.0338,0.0346,0.0442,0.0334,0.0302,0.035,0.0612,0.0706,0.0551
