country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.386,0.359,0.36,0.344,0.344,0.35,0.372,0.38,0.407,0.414,0.437,0.433,0.439,0.447,0.442,0.45,0.502,0.496,0.468,0.498,0.513,0.513,0.506,0.52
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.642,,0.721,,0.738,,,0.744,0.75,0.768,0.777,0.768,0.748,0.748,0.75
Morocco,,,,,,,,,,,,,,,,,,,,,0.595,0.599,0.604,0.619,0.365,0.589,0.564,0.588,0.603,0.606,0.628,0.638,0.355,0.359,0.347,0.35,0.363,0.367,0.372,0.377,0.376,0.383,0.394,0.443,0.449,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.161,,,,,,,,,,,,0.201,,
Myanmar,,,,,,,,,0.231,0.232,0.231,0.232,0.231,0.234,0.233,0.233,0.233,0.236,0.239,0.239,0.21,,0.219,0.215,0.215,,,0.249,0.251,,,,,,,,,,,,,,,,,0.314,,0.335
Namibia,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,0.47,,,0.56,,,,0.551,,,,0.659,,0.547,,0.587,0.538,0.558,,0.606,
Nepal,,,,,,,,,,,,,,,,,,,,,,0.147,,,,,,,,0.141,,,,,,,,,0.176,,,,,,,,,
Netherlands,0.539,0.55,0.561,0.567,0.575,0.594,0.608,0.592,0.616,0.593,0.636,0.632,0.663,0.65,0.668,0.659,0.684,0.67,0.684,0.683,0.685,0.697,0.682,0.701,0.711,0.706,0.689,0.691,0.703,0.706,0.704,0.712,0.69,0.744,0.729,0.725,0.732,0.747,0.741,0.728,0.717,0.714,0.72,0.746,0.751,0.749,0.746,0.732
New Zealand,,,,,,,,,,,,,,,,,,,,,,0.653,0.659,0.656,0.643,0.649,,0.672,0.67,0.673,0.677,0.678,0.684,0.694,0.695,0.705,0.7,0.704,0.709,0.718,0.719,0.724,0.727,0.73,0.725,0.715,0.733,0.733
Nicaragua,,,,,,,,,,,,,,,,,,,,,0.382,0.4,0.4,0.403,0.396,0.395,0.394,0.391,0.389,0.382,0.379,0.382,,0.515,0.513,0.514,0.515,0.498,0.522,0.527,,,0.515,,0.503,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152,,,,,,
Nigeria,,,,,,,,,,,,,,0.565,,,0.438,,,,,,,,,,,,,,,,,,0.417,,,,,,0.477,,,0.493,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.428,0.44,,,0.472,0.504,,,,0.513,0.528,0.509,0.512,0.516,0.531,0.532
Norway,,,0.535,0.547,0.552,0.562,0.574,0.584,0.595,0.612,0.623,0.627,0.639,0.653,0.654,0.656,0.659,0.667,0.675,0.683,0.692,0.708,0.712,0.716,0.716,0.713,0.715,0.714,0.724,0.731,0.739,0.741,0.743,0.744,0.756,0.758,0.759,0.759,0.743,0.77,0.777,0.773,0.774,0.773,0.771,0.777,0.782,0.783
Oman,,,,,,,,,,,,,,,,,,,,,,,,0.817,,,0.848,,,,0.822,,,,,,,,0.647,,0.579,,,,,,,
Pakistan,,,,0.229,0.264,0.264,0.264,0.264,0.264,0.268,0.268,0.268,0.268,0.275,0.275,0.287,0.268,0.296,0.289,0.289,0.289,0.327,0.32,0.335,0.324,0.346,0.346,0.369,0.356,0.356,0.335,0.335,0.371,0.371,0.366,0.366,0.359,0.354,0.351,0.357,0.352,0.347,,0.348,0.349,0.35,0.341,
